,enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours
35,25608,city_165,0.903,Male,Has relevent experience,no_enrollment,Masters,STEM,17,50-99,Pvt Ltd,>4,8.0
36,22139,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,>20,100-500,Pvt Ltd,>4,8.0
37,19644,city_61,0.9129999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,145.0
38,18517,city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,<1,Oct-49,Pvt Ltd,1,22.0
39,12835,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Early Stage Startup,1,9.0
40,20178,city_45,0.89,Male,Has relevent experience,no_enrollment,Masters,STEM,13,10000+,Public Sector,1,20.0
41,25855,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,50-99,Pvt Ltd,1,20.0
42,32126,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,4,130.0
43,22753,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,3.0
44,18133,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,1,10000+,Pvt Ltd,1,23.0
45,29242,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Pvt Ltd,1,49.0
46,6312,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,1,270.0
47,113,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,6,1000-4999,Pvt Ltd,1,23.0
48,14685,city_114,0.9259999999999999,Male,No relevent experience,Full time course,Masters,STEM,3,Oct-49,Pvt Ltd,1,35.0
49,20768,city_90,0.698,Male,No relevent experience,Full time course,High School,STEM,2,10000+,Pvt Ltd,never,87.0
50,25906,city_28,0.9390000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,50-99,Pvt Ltd,1,37.0
51,20142,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,1,158.0
52,25891,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,8.0
53,4742,city_149,0.6890000000000001,Male,No relevent experience,no_enrollment,Graduate,STEM,2,10000+,Pvt Ltd,1,114.0
54,2222,city_105,0.794,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,14,100-500,Pvt Ltd,1,15.0
55,16917,city_103,0.92,Male,No relevent experience,Full time course,High School,STEM,1,10000+,Pvt Ltd,1,48.0
56,10493,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,8,1000-4999,Pvt Ltd,2,40.0
57,10418,city_76,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,>4,91.0
58,9766,city_83,0.9229999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,2,14.0
59,1361,city_103,0.92,Other,Has relevent experience,Full time course,Graduate,STEM,5,10000+,Pvt Ltd,1,132.0
60,19625,city_97,0.925,Male,Has relevent experience,no_enrollment,High School,STEM,7,50-99,Pvt Ltd,1,31.0
61,20943,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,8.0
62,9561,city_28,0.9390000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,19,10000+,Pvt Ltd,2,72.0
63,4271,city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,<10,Pvt Ltd,2,74.0
64,2094,city_64,0.6659999999999999,Female,Has relevent experience,no_enrollment,Graduate,STEM,18,100-500,Pvt Ltd,>4,43.0
65,16931,city_31,0.807,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,>4,134.0
66,27298,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,Arts,5,<10,Early Stage Startup,never,18.0
67,26493,city_136,0.897,Male,No relevent experience,Part time course,Graduate,STEM,8,10000+,Public Sector,1,124.0
68,30745,city_19,0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10000+,Pvt Ltd,3,80.0
69,21052,city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,10000+,Pvt Ltd,never,9.0
70,20723,city_11,0.55,Male,Has relevent experience,Full time course,Graduate,STEM,<1,50-99,Pvt Ltd,1,188.0
71,13539,city_143,0.74,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,2,182.0
72,3214,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,4,282.0
73,16230,city_103,0.92,Male,No relevent experience,Full time course,High School,STEM,1,10000+,Pvt Ltd,never,84.0
74,25300,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Early Stage Startup,1,59.0
75,24018,city_11,0.55,Male,Has relevent experience,Part time course,Graduate,STEM,3,Oct-49,Pvt Ltd,1,116.0
76,21833,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,50-99,Pvt Ltd,>4,34.0
77,30632,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,12,50-99,Pvt Ltd,2,64.0
78,4334,city_103,0.92,Male,Has relevent experience,no_enrollment,High School,STEM,9,10000+,Pvt Ltd,2,19.0
79,22271,city_100,0.887,Male,No relevent experience,Full time course,Graduate,Other,15,10000+,Pvt Ltd,3,77.0
80,28776,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,56.0
81,27769,city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,2,10000+,Pvt Ltd,1,73.0
82,25909,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,>4,30.0
83,31266,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,500-999,Pvt Ltd,>4,66.0
84,7973,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,14,10000+,Pvt Ltd,1,10.0
85,30867,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,100.0
86,22501,city_75,0.9390000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,Oct-49,Pvt Ltd,>4,32.0
87,2539,city_13,0.8270000000000001,Male,Has relevent experience,Full time course,Masters,STEM,10,10000+,Pvt Ltd,4,29.0
88,26681,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,10000+,Pvt Ltd,3,8.0
89,16184,city_127,0.745,Male,No relevent experience,Full time course,High School,STEM,1,10000+,Pvt Ltd,never,77.0
90,3852,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,28.0
91,1680,city_19,0.682,Male,Has relevent experience,no_enrollment,Masters,STEM,19,1000-4999,Pvt Ltd,4,99.0
92,3562,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,2,41.0
93,8488,city_101,0.5579999999999999,Male,Has relevent experience,Part time course,Masters,STEM,3,10000+,Pvt Ltd,2,258.0
94,8373,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,1000-4999,Pvt Ltd,3,144.0
95,2934,city_75,0.9390000000000001,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Pvt Ltd,3,328.0
96,12919,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Humanities,4,10000+,Pvt Ltd,1,47.0
97,4386,city_21,0.624,Male,No relevent experience,Full time course,High School,STEM,3,<10,Early Stage Startup,2,36.0
98,22462,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,NGO,1,30.0
99,13988,city_103,0.92,Male,Has relevent experience,Part time course,Masters,STEM,16,10000+,Pvt Ltd,>4,36.0
100,21230,city_103,0.92,Male,No relevent experience,no_enrollment,High School,STEM,3,10000+,Pvt Ltd,>4,41.0
101,26180,city_139,0.48700000000000004,Male,No relevent experience,Full time course,Graduate,STEM,1,Oct-49,Pvt Ltd,never,64.0
102,16658,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,16,50-99,Pvt Ltd,1,55.0
103,10324,city_16,0.91,Male,Has relevent experience,Part time course,Graduate,STEM,>20,10000+,Pvt Ltd,2,12.0
104,20453,city_27,0.848,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,never,4.0
105,13485,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,23.0
106,33080,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,never,32.0
107,25492,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,1,10.0
108,1319,city_71,0.884,Male,No relevent experience,Part time course,Graduate,STEM,<1,10000+,Pvt Ltd,>4,18.0
109,19146,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Pvt Ltd,1,43.0
110,29339,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,never,5.0
111,33177,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,1,8.0
112,22143,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,1,34.0
113,22264,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1,58.0
114,17034,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,5,10000+,Other,never,48.0
115,27002,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,7,50-99,Pvt Ltd,>4,58.0
116,21318,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,1,7.0
117,12308,city_143,0.74,Male,No relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Public Sector,>4,84.0
118,842,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,7,10000+,Pvt Ltd,1,12.0
119,4926,city_103,0.92,Male,No relevent experience,no_enrollment,High School,STEM,1,10000+,Pvt Ltd,never,22.0
120,3,city_99,0.915,Male,No relevent experience,Full time course,High School,STEM,6,10000+,Pvt Ltd,never,44.0
121,19567,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,1000-4999,Pvt Ltd,1,42.0
122,12809,city_61,0.9129999999999999,Male,Has relevent experience,no_enrollment,High School,STEM,3,100-500,Pvt Ltd,1,48.0
123,22682,city_71,0.884,Male,No relevent experience,no_enrollment,Masters,STEM,2,1000-4999,Pvt Ltd,1,196.0
124,1216,city_173,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,2,80.0
125,4417,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,1,10000+,Pvt Ltd,1,99.0
126,24162,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,<1,<10,Pvt Ltd,1,48.0
127,16873,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,95.0
128,21920,city_16,0.91,Female,No relevent experience,no_enrollment,Phd,STEM,19,1000-4999,NGO,1,64.0
129,24230,city_21,0.624,Male,Has relevent experience,Full time course,Masters,No Major,<1,<10,Early Stage Startup,1,17.0
130,5189,city_16,0.91,Male,No relevent experience,no_enrollment,High School,STEM,<1,10000+,Pvt Ltd,1,64.0
131,24396,city_70,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,100-500,Pvt Ltd,2,54.0
132,770,city_73,0.754,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,1,12.0
133,30913,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,>4,19.0
134,14566,city_69,0.856,Female,Has relevent experience,Part time course,Graduate,STEM,7,500-999,Pvt Ltd,1,145.0
135,15634,city_61,0.9129999999999999,Male,Has relevent experience,no_enrollment,Graduate,No Major,11,100-500,Pvt Ltd,>4,50.0
136,18163,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,High School,STEM,2,10000+,Pvt Ltd,never,135.0
137,16673,city_21,-0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,<1,10000+,Pvt Ltd,1,3.0
138,18805,city_16,0.91,Male,No relevent experience,no_enrollment,Phd,Humanities,>20,10000+,Pvt Ltd,>4,27.0
139,15367,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,<1,10000+,Pvt Ltd,1,24.0
140,22556,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,5,Oct-49,Funded Startup,1,120.0
141,27439,city_100,0.887,Male,Has relevent experience,Part time course,Graduate,STEM,15,10000+,Pvt Ltd,1,61.0
142,18426,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,1,23.0
143,9789,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,4.0
144,28172,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,139.0
145,9184,city_136,0.897,Male,Has relevent experience,Part time course,Masters,STEM,3,10000+,Pvt Ltd,1,34.0
146,3587,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,Humanities,7,10000+,Pvt Ltd,4,21.0
147,1167,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,4,10.0
148,1663,city_134,-0.698,Male,Has relevent experience,Part time course,Masters,STEM,>20,10000+,Pvt Ltd,>4,15.0
149,20948,city_44,0.725,Male,Has relevent experience,no_enrollment,Masters,STEM,5,Oct-49,Pvt Ltd,1,42.0
150,31594,city_41,0.8270000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,>4,154.0
151,27117,city_90,0.698,Male,No relevent experience,Full time course,Graduate,STEM,<1,10000+,Pvt Ltd,never,8.0
152,678,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,1,84.0
153,1441,city_103,0.92,Male,No relevent experience,Full time course,Masters,STEM,16,10000+,Pvt Ltd,never,96.0
154,31272,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,5000-9999,Pvt Ltd,4,56.0
155,12443,city_149,0.6890000000000001,Male,Has relevent experience,no_enrollment,High School,STEM,6,100-500,Pvt Ltd,1,270.0
156,32981,city_165,0.903,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,10000+,Pvt Ltd,1,76.0
157,1317,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,12,100-500,Funded Startup,1,48.0
158,4601,city_28,0.9390000000000001,Male,No relevent experience,no_enrollment,Phd,STEM,>20,5000-9999,Pvt Ltd,2,9.0
159,30498,city_83,0.9229999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,3,Oct-49,Public Sector,never,27.0
160,7863,city_165,0.903,Male,No relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,3,40.0
161,8744,city_150,0.698,Male,No relevent experience,Full time course,High School,STEM,1,10000+,Pvt Ltd,never,72.0
162,14698,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,5000-9999,Pvt Ltd,1,66.0
163,10021,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,1,22.0
164,15253,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,50-99,Funded Startup,3,156.0
165,18108,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,High School,STEM,5,10000+,Pvt Ltd,>4,95.0
166,31410,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,35.0
167,30532,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,500-999,Pvt Ltd,1,102.0
168,31733,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,51.0
169,28833,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,1,88.0
170,8708,city_74,0.579,Male,Has relevent experience,Part time course,Masters,STEM,3,50-99,Pvt Ltd,1,13.0
171,10050,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,1,10000+,Pvt Ltd,>4,20.0
172,21685,city_114,0.9259999999999999,Male,No relevent experience,no_enrollment,Phd,STEM,15,10000+,Pvt Ltd,1,91.0
173,18529,city_143,0.74,Male,Has relevent experience,Full time course,Graduate,STEM,6,Oct-49,Pvt Ltd,4,34.0
174,1850,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,1,100-500,Public Sector,1,20.0
175,22639,city_176,0.764,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,Oct-49,Pvt Ltd,1,77.0
176,5967,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,9,Oct-49,Pvt Ltd,>4,101.0
177,20977,city_16,0.91,Male,Has relevent experience,no_enrollment,High School,STEM,>20,100-500,Pvt Ltd,1,178.0
178,5391,city_155,0.556,Male,No relevent experience,Full time course,Graduate,STEM,2,10000+,Pvt Ltd,1,29.0
179,4398,city_155,0.556,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,3,200.0
180,18383,city_21,0.624,Male,No relevent experience,no_enrollment,Masters,STEM,4,100-500,Pvt Ltd,1,15.0
181,17336,city_21,0.624,Male,No relevent experience,Full time course,High School,STEM,2,10000+,Pvt Ltd,never,72.0
182,7470,city_167,0.9209999999999999,Male,Has relevent experience,Full time course,Graduate,STEM,7,100-500,Pvt Ltd,1,8.0
183,24781,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,2,76.0
184,24202,city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,1,9.0
185,20650,city_73,0.754,Male,Has relevent experience,Part time course,Graduate,STEM,6,Oct-49,Pvt Ltd,3,68.0
186,5377,city_114,0.9259999999999999,Male,No relevent experience,no_enrollment,High School,STEM,5,10000+,Pvt Ltd,never,70.0
187,31693,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,51.0
188,28619,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,3,10000+,Pvt Ltd,never,4.0
189,15432,city_114,0.9259999999999999,Male,No relevent experience,no_enrollment,High School,STEM,11,100-500,Pvt Ltd,>4,16.0
190,22999,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,<1,100-500,Pvt Ltd,1,9.0
191,8377,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,100-500,Pvt Ltd,2,24.0
192,9302,city_149,0.6890000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Pvt Ltd,2,152.0
193,16158,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Funded Startup,3,72.0
194,29575,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,3,88.0
195,16573,city_28,0.9390000000000001,Male,Has relevent experience,no_enrollment,Graduate,No Major,8,Oct-49,Pvt Ltd,2,138.0
196,30736,city_160,0.92,Male,No relevent experience,Full time course,High School,STEM,2,10000+,Pvt Ltd,1,48.0
197,20612,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,100-500,Pvt Ltd,never,128.0
198,11976,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,14,10000+,Pvt Ltd,1,59.0
199,28302,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,<10,Pvt Ltd,1,138.0
200,9462,city_21,0.624,Male,No relevent experience,Part time course,Graduate,STEM,1,10000+,Pvt Ltd,never,204.0
201,14512,city_11,0.55,Male,Has relevent experience,Full time course,Graduate,STEM,4,50-99,Pvt Ltd,1,125.0
202,8401,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Public Sector,2,7.0
203,19780,city_105,0.794,Female,Has relevent experience,no_enrollment,Masters,STEM,1,500-999,Pvt Ltd,1,53.0
204,2594,city_21,0.624,Male,No relevent experience,Full time course,High School,STEM,2,10000+,Pvt Ltd,never,12.0
205,1466,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,52.0
206,17205,city_114,0.9259999999999999,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,never,24.0
207,12990,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,>4,67.0
208,4234,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Pvt Ltd,1,118.0
209,18171,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,2,29.0
210,15457,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Pvt Ltd,>4,18.0
211,23319,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,4,10000+,Pvt Ltd,never,9.0
212,10598,city_136,0.897,Male,Has relevent experience,no_enrollment,Phd,STEM,14,<10,Early Stage Startup,1,7.0
213,7788,city_21,0.624,Male,Has relevent experience,no_enrollment,High School,STEM,10,10000+,Pvt Ltd,never,73.0
214,32021,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,2,65.0
215,23969,city_30,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,67.0
216,13037,city_97,0.925,Male,Has relevent experience,no_enrollment,High School,STEM,8,10000+,Pvt Ltd,1,33.0
217,30196,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,2,<10,Early Stage Startup,1,56.0
218,19504,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,Oct-49,Pvt Ltd,1,18.0
219,16336,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,>4,272.0
220,6048,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,1000-4999,Pvt Ltd,2,29.0
221,6827,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,100-500,Pvt Ltd,never,100.0
222,9268,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,2,26.0
223,11169,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1,13.0
224,31131,city_103,0.92,Female,No relevent experience,Part time course,Graduate,Other,3,5000-9999,Other,1,56.0
225,12361,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,<1,<10,Early Stage Startup,1,23.0
